,tradedate,ICopen_f,ICopen2_f,IHopen_f,IHopen2_f,drest,ICopen_i,ICopen2_i,IHopen_i,IHopen2_i,ICbasis2,ICbasis,ICdbasis,IHbasis2,IHbasis,IHdbasis,ddbasis,signal,ret,fee,fee_ret,cum,fee_cum
0,2015-04-16,7527.4,7590.4,3112.8,3126.4,-0.03487853967560817,7705.46,7726.47,3045.85,3091.54,136.07000000000062,178.0600000000004,-41.98999999999978,-34.86000000000013,-66.95000000000027,32.090000000000146,-74.07999999999993,-1.0,0.03487853967560817,0.0004,0.03447853967560817,1.0348785396756082,1.0
1,2015-04-17,7663.0,7728.4,3340.4,3308.2,0.020239439909290002,7979.35,8001.34,3251.98,3249.28,272.9400000000005,316.35000000000036,-43.409999999999854,-58.91999999999962,-88.42000000000007,29.500000000000455,-72.91000000000031,-1.0,-0.020239439909290002,0.0004,-0.020639439909290003,1.01393317765843,0.97936056009071
2,2015-04-20,7677.4,7755.8,3273.0,3288.8,0.025951024519944015,7960.26,7957.21,3267.85,3270.53,201.40999999999985,282.8600000000006,-81.45000000000073,-18.269999999999982,-5.150000000000091,-13.11999999999989,-68.33000000000084,-1.0,-0.025951024519944015,0.0004,-0.026351024519944016,0.9876205729034313,0.9535534059578937
3,2015-04-21,7655.0,7697.4,3191.2,3186.4,0.04261341206532522,7850.03,7922.37,3163.29,3164.07,224.97000000000025,195.02999999999975,29.94000000000051,-22.329999999999927,-27.909999999999854,5.579999999999927,24.360000000000582,1.0,0.04261341206532522,0.0004,0.04221341206532522,1.0297064553407578,0.9938061488098887
4,2015-04-22,8127.6,8116.0,3267.4,3233.0,-0.01410511852801877,8180.12,8218.52,3219.7,3207.45,102.52000000000044,52.51999999999953,50.00000000000091,-25.550000000000182,-47.70000000000027,22.15000000000009,27.85000000000082,1.0,-0.01410511852801877,0.0004,-0.014505118528018768,1.0151823237391102,0.9793908728275275
5,2015-04-23,8196.0,8246.0,3339.2,3314.0,0.01631776698740639,8371.07,8337.11,3311.07,3288.13,91.11000000000058,175.0699999999997,-83.95999999999913,-25.86999999999989,-28.129999999999654,2.2599999999997635,-86.21999999999889,-1.0,-0.01631776698740639,0.0004,-0.01671776698740639,0.9986168151306016,0.9630176444260043
6,2015-04-24,8169.0,8205.4,3253.0,3260.2,0.023186929735234733,8321.33,8402.07,3226.38,3246.86,196.67000000000007,152.32999999999993,44.340000000000146,-13.33999999999969,-26.61999999999989,13.2800000000002,31.059999999999945,1.0,0.023186929735234733,0.0004,0.02278692973523473,1.0217716730554587,0.9849618598233311
7,2015-04-27,8460.2,8488.2,3274.4,3289.0,-0.03746869914716222,8509.05,8555.87,3257.9699,3271.67,67.67000000000007,48.849999999998545,18.820000000001528,-17.329999999999927,-16.43010000000004,-0.8998999999998887,19.719900000001417,1.0,-0.03746869914716222,0.0004,-0.03786869914716222,0.9834872176406511,0.947662635482252
8,2015-04-28,8409.0,8346.0,3324.8,3310.4,-0.01671470963941479,8533.67,8449.25,3309.53,3287.31,103.25,124.67000000000007,-21.420000000000073,-23.090000000000146,-15.269999999999982,-7.820000000000164,-13.599999999999909,-1.0,0.01671470963941479,0.0004,0.01631470963941479,0.9999259209175904,0.9631234762162675
9,2015-04-29,8120.0,8140.0,3291.2,3277.0,0.014372429688267463,8242.11,8234.66,3268.52,3257.14,94.65999999999985,122.11000000000058,-27.450000000000728,-19.860000000000127,-22.679999999999836,2.819999999999709,-30.270000000000437,-1.0,-0.014372429688267463,0.0004,-0.014772429688267462,0.9855545559257262,0.948895802382743
